grid,drv_pts_to_date,drv_roll_pts_5,drv_roll_pos_5,drv_roll_dnf_5,con_pts_to_date,con_roll_pts_5,round_norm,win,season
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,2018
1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
2,0.0,0.0,0.0,0.0,25.0,25.0,0.2,0,2018
8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
4,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0,2018
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
15,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0,2018
11,0.0,0.0,0.0,0.0,10.0,10.0,0.2,0,2018
9,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0,2018
12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
18,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
13,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
20,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
17,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2018
1,25.0,25.0,1.0,0.0,40.0,20.0,0.4,1,2018
3,4.0,4.0,8.0,0.0,22.0,11.0,0.4,0,2018
9,18.0,18.0,2.0,0.0,40.0,13.333333333333334,0.4,0,2018
5,0.0,0.0,18.0,1.0,0.0,0.0,0.4,0,2018
6,0.0,0.0,17.0,1.0,0.0,0.0,0.4,0,2018
7,6.0,6.0,7.0,0.0,7.0,3.5,0.4,0,2018
13,10.0,10.0,5.0,0.0,12.0,6.0,0.4,0,2018
14,2.0,2.0,9.0,0.0,18.0,6.0,0.4,0,2018
17,0.0,0.0,19.0,1.0,0.0,0.0,0.4,0,2018
8,0.0,0.0,12.0,0.0,0.0,0.0,0.4,0,2018
10,1.0,1.0,10.0,0.0,15.0,5.0,0.4,0,2018
19,0.0,0.0,13.0,0.0,2.0,0.6666666666666666,0.4,0,2018
16,0.0,0.0,16.0,1.0,10.0,3.3333333333333335,0.4,0,2018
20,0.0,0.0,14.0,0.0,0.0,0.0,0.4,0,2018
18,0.0,0.0,20.0,1.0,0.0,0.0,0.4,0,2018
12,0.0,0.0,11.0,0.0,1.0,0.3333333333333333,0.4,0,2018
11,0.0,0.0,15.0,0.0,12.0,4.0,0.4,0,2018
2,15.0,15.0,3.0,0.0,65.0,21.666666666666668,0.4,0,2018
15,8.0,8.0,6.0,0.0,20.0,10.0,0.4,0,2018
4,12.0,12.0,4.0,0.0,20.0,6.666666666666667,0.4,0,2018
6,12.0,6.0,12.0,0.5,20.0,5.0,0.6,1,2018
3,22.0,11.0,5.0,0.0,55.0,13.75,0.6,0,2018
2,15.0,7.5,10.5,0.5,65.0,16.25,0.6,0,2018
4,33.0,16.5,2.5,0.0,73.0,14.6,0.6,0,2018
5,8.0,4.0,12.5,0.5,45.0,9.0,0.6,0,2018
7,14.0,7.0,6.5,0.0,15.0,3.75,0.6,0,2018
13,16.0,8.0,6.0,0.0,22.0,5.5,0.6,0,2018
1,50.0,25.0,1.0,0.0,80.0,16.0,0.6,0,2018
9,1.0,0.5,10.5,0.0,23.0,4.6,0.6,0,2018
11,10.0,5.0,11.0,0.5,10.0,2.5,0.6,0,2018
12,1.0,0.5,11.0,0.0,1.0,0.25,0.6,0,2018
8,0.0,0.0,13.5,0.0,1.0,0.2,0.6,0,2018
14,6.0,3.0,8.5,0.0,28.0,5.6,0.6,0,2018
18,0.0,0.0,14.0,0.0,0.0,0.0,0.6,0,2018
16,0.0,0.0,17.5,0.5,0.0,0.0,0.6,0,2018
20,2.0,1.0,14.0,0.5,2.0,0.5,0.6,0,2018
10,0.0,0.0,14.5,0.5,11.0,2.2,0.6,0,2018
17,12.0,6.0,11.0,0.5,12.0,3.0,0.6,0,2018
19,0.0,0.0,12.5,0.0,2.0,0.4,0.6,0,2018
15,0.0,0.0,16.0,0.0,12.0,2.4,0.6,0,2018
2,45.0,15.0,3.0,0.0,85.0,13.4,0.8,1,2018
6,30.0,10.0,8.0,0.3333333333333333,84.0,11.8,0.8,0,2018
8,0.0,0.0,13.0,0.0,1.0,0.2,0.8,0,2018
1,54.0,18.0,3.3333333333333335,0.0,102.0,12.4,0.8,0,2018
9,3.0,1.0,10.0,0.0,25.0,3.8,0.8,0,2018
13,0.0,0.0,14.666666666666666,0.0,2.0,0.4,0.8,0,2018
12,22.0,7.333333333333333,6.333333333333333,0.0,28.0,3.6,0.8,0,2018
10,0.0,0.0,14.0,0.0,0.0,0.0,0.8,0,2018
16,6.0,2.0,10.0,0.0,34.0,4.4,0.8,0,2018
19,0.0,0.0,17.333333333333332,0.3333333333333333,12.0,2.4,0.8,0,2018
18,2.0,0.6666666666666666,14.666666666666666,0.3333333333333333,10.0,2.0,0.8,0,2018
17,12.0,4.0,13.333333333333334,0.3333333333333333,13.0,2.6,0.8,0,2018
15,11.0,3.6666666666666665,10.666666666666666,0.3333333333333333,11.0,2.2,0.8,0,2018
3,40.0,13.333333333333334,4.0,0.0,110.0,17.6,0.8,0,2018
20,0.0,0.0,15.333333333333334,0.3333333333333333,11.0,2.2,0.8,0,2018
5,18.0,6.0,10.0,0.3333333333333333,55.0,8.6,0.8,0,2018
4,37.0,12.333333333333334,8.333333333333334,0.3333333333333333,55.0,7.0,0.8,0,2018
14,22.0,7.333333333333333,6.333333333333333,0.0,35.0,5.6,0.8,0,2018
7,1.0,0.3333333333333333,11.0,0.0,16.0,3.2,0.8,0,2018
11,0.0,0.0,16.666666666666668,0.3333333333333333,4.0,0.8,0.8,0,2018
1,70.0,17.5,2.5,0.0,110.0,14.0,1.0,1,2018
2,40.0,10.0,6.5,0.25,135.0,16.0,1.0,0,2018
5,18.0,4.5,11.5,0.5,55.0,7.0,1.0,0,2018
3,66.0,16.5,3.5,0.0,114.0,9.8,1.0,0,2018
6,37.0,9.25,10.5,0.5,70.0,10.0,1.0,0,2018
7,11.0,2.75,11.25,0.25,11.0,0.2,1.0,0,2018
9,13.0,3.25,8.75,0.0,35.0,4.0,1.0,0,2018
8,28.0,7.0,6.5,0.0,36.0,3.6,1.0,0,2018
15,15.0,3.75,10.5,0.0,16.0,3.0,1.0,0,2018
14,8.0,2.0,12.5,0.0,10.0,1.6,1.0,0,2018
18,4.0,1.0,12.5,0.0,4.0,0.8,1.0,0,2018
20,1.0,0.25,15.5,0.25,13.0,0.2,1.0,0,2018
17,2.0,0.5,13.75,0.25,11.0,1.8,1.0,0,2018
19,0.0,0.0,17.5,0.5,4.0,0.8,1.0,0,2018
11,8.0,2.0,9.75,0.0,40.0,3.6,1.0,0,2018
13,1.0,0.25,13.0,0.25,18.0,3.4,1.0,0,2018
4,48.0,12.0,6.5,0.25,126.0,12.2,1.0,0,2018
10,0.0,0.0,15.25,0.5,19.0,1.8,1.0,0,2018
12,12.0,3.0,13.0,0.25,13.0,0.2,1.0,0,2018
16,22.0,5.5,9.25,0.25,41.0,5.2,1.0,0,2018
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,2019
1,0.0,0.0,0.0,0.0,26.0,26.0,0.2,0,2019
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
5,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0,2019
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
15,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
17,0.0,0.0,0.0,0.0,15.0,15.0,0.2,0,2019
8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
10,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0,2019
13,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0,2019
14,0.0,0.0,0.0,0.0,4.0,4.0,0.2,0,2019
19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
20,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
6,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0,2019
12,0.0,0.0,0.0,0.0,6.0,6.0,0.2,0,2019
18,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2019
3,18.0,18.0,2.0,0.0,44.0,22.0,0.4,1,2019
4,26.0,26.0,1.0,0.0,69.0,23.0,0.4,0,2019
1,10.0,10.0,5.0,0.0,22.0,11.0,0.4,0,2019
5,15.0,15.0,3.0,0.0,15.0,7.5,0.4,0,2019
2,12.0,12.0,4.0,0.0,38.0,12.666666666666666,0.4,0,2019
9,0.0,0.0,12.0,0.0,0.0,0.0,0.4,0,2019
8,4.0,4.0,8.0,0.0,4.0,2.0,0.4,0,2019
13,0.0,0.0,11.0,0.0,27.0,9.0,0.4,0,2019
12,0.0,0.0,14.0,0.0,1.0,0.5,0.4,0,2019
14,0.0,0.0,13.0,0.0,2.0,1.0,0.4,0,2019
16,0.0,0.0,15.0,0.0,10.0,3.3333333333333335,0.4,0,2019
15,1.0,1.0,10.0,0.0,3.0,1.0,0.4,0,2019
6,8.0,8.0,6.0,0.0,8.0,4.0,0.4,0,2019
18,2.0,2.0,9.0,0.0,3.0,1.0,0.4,0,2019
19,0.0,0.0,16.0,0.0,0.0,0.0,0.4,0,2019
20,0.0,0.0,17.0,0.0,0.0,0.0,0.4,0,2019
17,6.0,6.0,7.0,0.0,6.0,3.0,0.4,0,2019
10,0.0,0.0,19.0,1.0,6.0,2.0,0.4,0,2019
7,0.0,0.0,20.0,1.0,8.0,2.6666666666666665,0.4,0,2019
11,0.0,0.0,18.0,1.0,8.0,2.6666666666666665,0.4,0,2019
2,43.0,21.5,1.5,0.0,87.0,21.75,0.6,1,2019
1,44.0,22.0,1.5,0.0,112.0,22.4,0.6,0,2019
3,22.0,11.0,4.5,0.0,48.0,12.0,0.6,0,2019
5,27.0,13.5,3.5,0.0,31.0,7.75,0.6,0,2019
4,26.0,13.0,4.0,0.0,63.0,12.6,0.6,0,2019
6,4.0,2.0,9.5,0.0,43.0,8.6,0.6,0,2019
7,0.0,0.0,18.5,1.0,6.0,1.5,0.6,0,2019
12,1.0,0.5,11.5,0.0,3.0,0.75,0.6,0,2019
13,10.0,5.0,7.5,0.0,10.0,2.5,0.6,0,2019
0,2.0,1.0,11.5,0.0,3.0,0.75,0.6,0,2019
10,0.0,0.0,19.0,1.0,8.0,2.0,0.6,0,2019
16,2.0,1.0,11.5,0.0,7.0,1.4,0.6,0,2019
9,8.0,4.0,9.5,0.0,8.0,1.6,0.6,0,2019
14,0.0,0.0,19.5,1.0,8.0,2.0,0.6,0,2019
19,0.0,0.0,13.0,0.0,12.0,2.4,0.6,0,2019
17,0.0,0.0,15.5,0.0,0.0,0.0,0.6,0,2019
18,0.0,0.0,16.5,0.0,0.0,0.0,0.6,0,2019
15,8.0,4.0,9.0,0.0,8.0,1.6,0.6,0,2019
11,1.0,0.5,11.0,0.0,4.0,0.8,0.6,0,2019
